canonical_event_id,event_name_raw,year,location_raw,normalized_event_type,group_id,num_sources,num_source_types,source_types,primary_source_type,validation_status,confidence,num_placements
bb975bff1d,1980 NHSA,1980,,NHSA_NATIONALS,bb975bff1d,1,1,OLD_RESULTS,OLD_RESULTS,SINGLE_SOURCE,LOW,8
069f7909e7,1980 Mike Marshall Memorial,1980,,OTHER,069f7909e7,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,10
8396ba09ac,1980 National Footbag Championships,1980,"Clackamas, Oregon",US_NATIONALS,8396ba09ac,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,2
5c386b7dea,1980 World Footbag Championships,1980,"Portland, Oregon",WORLD_CHAMPIONSHIPS,5c386b7dea,1,1,IFAB,IFAB,SINGLE_SOURCE,MEDIUM,1
b9540daaab,1981 NHSA,1981,,NHSA_NATIONALS,b9540daaab,1,1,OLD_RESULTS,OLD_RESULTS,SINGLE_SOURCE,LOW,15
bc88796233,1981 Mike Marshall Memorial,1981,,OTHER,bc88796233,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,13
af9e865ed5,1981 World Footbag Championships,1981,"Portland, Oregon",WORLD_CHAMPIONSHIPS,af9e865ed5,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,2
1e36e7ca92,1982 NHSA,1982,,NHSA_NATIONALS,1e36e7ca92,2,2,FBW|OLD_RESULTS,OLD_RESULTS,CONFIRMED_MULTI_SOURCE,HIGH,53
e41e20722d,1982 Western Regionals,1982,"Seattle, WA",US_REGIONALS,e41e20722d,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,1
f771c4ef26,1982 World Footbag Championships,1982,"Portland, Oregon",WORLD_CHAMPIONSHIPS,f771c4ef26,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,1
76498d51d2,1983 NHSA,1983,,NHSA_NATIONALS,76498d51d2,2,2,FBW|OLD_RESULTS,OLD_RESULTS,CONFIRMED_MULTI_SOURCE,HIGH,54
0a43031545,1983 Oregon State Championships,1983,Oregon,STATE_CHAMPIONSHIPS,0a43031545,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,1
00659874b9,1983 WFA,1983,,WFA_NATIONALS,00659874b9,2,2,FBW|OLD_RESULTS,OLD_RESULTS,CONFIRMED_MULTI_SOURCE,HIGH,53
76ff377548,1983 World Footbag Championships,1983,"Portland, Oregon",WORLD_CHAMPIONSHIPS,76ff377548,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,3
77aa0f8390,1984 European Footbag Championships,1984,,EURO_CHAMPIONSHIPS,77aa0f8390,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,1
0e1499ab21,1984 WFA National Championships,1984,,WFA_NATIONALS,0e1499ab21,2,2,FBW|OLD_RESULTS,FBW,CONFIRMED_MULTI_SOURCE,HIGH,36
6cd9e5b635,1984,1984,,WORLD_CHAMPIONSHIPS,6cd9e5b635,2,2,FBW|OLD_RESULTS,OLD_RESULTS,CONFIRMED_MULTI_SOURCE,HIGH,61
1c74083104,1985 WFA National Championships,1985,,WFA_NATIONALS,1c74083104,2,2,FBW|OLD_RESULTS,FBW,CONFIRMED_MULTI_SOURCE,HIGH,38
88ab188635,1985,1985,,WORLD_CHAMPIONSHIPS,88ab188635,2,2,FBW|OLD_RESULTS,OLD_RESULTS,CONFIRMED_MULTI_SOURCE,HIGH,64
b4b6a194e2,1986 WFA World Championships,1986,,WFA_WORLD_CHAMPIONSHIPS,b4b6a194e2,2,2,FBW|OLD_RESULTS,FBW,CONFIRMED_MULTI_SOURCE,HIGH,39
e753e2a15c,1987 European Footbag Championships,1987,,EURO_CHAMPIONSHIPS,e753e2a15c,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,1
8667de3590,1987 WFA World Championships,1987,,WFA_WORLD_CHAMPIONSHIPS,8667de3590,1,1,FBW,FBW,CONFIRMED_MULTI_SOURCE,MEDIUM,32
7f20a87202,1988 U.S. National Footbag Championships,1988,"Chicago, Illinois",US_NATIONALS,7f20a87202,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,1
d272be24f7,1988 WFA World Championships,1988,,WFA_WORLD_CHAMPIONSHIPS,d272be24f7,1,1,FBW,FBW,CONFIRMED_MULTI_SOURCE,MEDIUM,31
334c632f6e,1989 WFA World Championships,1989,,WFA_WORLD_CHAMPIONSHIPS,334c632f6e,2,1,FBW|IFAB,FBW,CONFIRMED_MULTI_SOURCE,MEDIUM,30
15782bd1d5,1990 WFA World Championships,1990,,WFA_WORLD_CHAMPIONSHIPS,15782bd1d5,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,29
76340820ba,1991 WFA World Championships,1991,,WFA_WORLD_CHAMPIONSHIPS,76340820ba,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,29
07e711d92a,1992 WFA World Championships,1992,,WFA_WORLD_CHAMPIONSHIPS,07e711d92a,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,29
e04899bee1,1993 IFAB World Championships,1993,,IFAB_WORLD_CHAMPIONSHIPS,e04899bee1,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,29
b9d35c4646,1994 IFAB World Championships,1994,,IFAB_WORLD_CHAMPIONSHIPS,b9d35c4646,2,1,FBW|IFAB,FBW,CONFIRMED_MULTI_SOURCE,MEDIUM,30
1faddf6c05,1995 IFAB World Championships,1995,,IFAB_WORLD_CHAMPIONSHIPS,1faddf6c05,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,29
6dc440629d,1996 IFAB World Championships,1996,,IFAB_WORLD_CHAMPIONSHIPS,6dc440629d,1,1,FBW,FBW,SINGLE_SOURCE,MEDIUM,29
