raw_name,proposed_person_name,reason,source_count,notes
Colin Cowles,Colin Cowles,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Doug Little,Doug Little,not in PT; not obviously noise; pre-1997 only athlete,4,FBW_V04_N02_p024.jpg; FBW_V05_N02_p028.jpg; FBW_V06_N02_p033.jpg; FBW_V07_N01_p037.jpg
James Stallcup,James Stallcup,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Jan-Olof Karlsson,Jan-Olof Karlsson,not in PT; not obviously noise; pre-1997 only athlete,2,FBW_V04_N02_p024.jpg; FBW_V07_N03_p040.jpg
Karen Atgopian,Karen Atgopian,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Karen Uppinghouse,Karen Uppinghouse,not in PT; not obviously noise; pre-1997 only athlete,2,OLD_RESULTS.txt; UNKNOWN_p050.jpg
Ken Eldrick,Ken Eldrick,not in PT; not obviously noise; pre-1997 only athlete,7,FBW_V03_N02_p021.jpg; FBW_V06_N02_p033.jpg; FBW_V07_N01_p037.jpg; FBW_V08_N01_p042.jpg; FBW_V08_N02_p044.jpg; IFAB_WORLDS_HISTORY_p051.jpg; UNKNOWN_p021.jpg
Kevin Gaunce,Kevin Gaunce,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Randy Nelson,Randy Nelson,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Randy Ross,Randy Ross,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Sindre Madsen,Sindre Madsen,not in PT; not obviously noise; pre-1997 only athlete,1,FBW_V06_N02_p033.jpg
Steve Brown,Steve Brown,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Ted Johnson,Ted Johnson,not in PT; not obviously noise; pre-1997 only athlete,1,OLD_RESULTS.txt
Torgeir Rygh,Torgeir Rygh,not in PT; not obviously noise; pre-1997 only athlete,3,FBW_V06_N02_p033.jpg; FBW_V06_N02_p034.jpg; FBW_V06_N03_p035.jpg
