category,metric,value,notes
Placements,Total in source (raw),27978,Before Gate 1
Placements,Surviving Gate 1,27978,No rejections at Gate 1
Placements,In Analytics_Safe_Surface,16230,Coverage-filtered + identity-locked
Placements,Unresolved identity,0,person_unresolved == true
Persons,Total (Gate 3),3468,"Presentable, non-synthetic, non-duplicate"
Persons,Excluded in Gate 3,15,All exclusion reasons
Persons (excluded),not_presentable_strict,15,
Coverage,complete,3690,89.5% of event/division combinations
Coverage,mostly_complete,220,5.3% of event/division combinations
Coverage,partial,197,4.8% of event/division combinations
Coverage,sparse,17,0.4% of event/division combinations
Coverage,Analytic-safe %,94.8%,complete + mostly_complete
